image_id,image_location,turtle_id
ID_009TNNQ8,left,t_id_Kf73l69A
ID_010JDNBL,right,t_id_GrxmyS59
ID_01L54J3D,left,t_id_d6aYXtor
ID_02445SY2,top,t_id_GrxmyS59
ID_026RZIZ9,right,t_id_hRzOoJ2t
ID_04LIX78Y,left,t_id_dhdJMT1K
ID_05OAB9HN,top,t_id_fjHGjp1w
ID_08R685XU,left,t_id_m2JvEcsg
ID_08VEIX80,top,t_id_Ts5LyVQz
ID_092X1NP4,left,t_id_fxTQ5vHC
ID_0B15SK84,right,t_id_AOWArhGb
ID_0D2ZJPGL,right,t_id_uJXT7dGu
ID_0DOWCQVL,top,t_id_stWei2Uq
ID_0E36WAY8,right,t_id_2QmcRkNj
ID_0F3ODH2R,left,t_id_8b8sprYe
ID_0FP7W8WI,right,t_id_Ts5LyVQz
ID_0FX6ODC0,left,t_id_n2FBHk6d
ID_0G8SI7HQ,left,t_id_G5JLzvai
ID_0GMRVK1K,right,t_id_uJXT7dGu
ID_0I5FAS7W,top,t_id_n2FBHk6d
ID_0ILV12LP,right,t_id_3K93fQBS
ID_0INOHY6I,top,t_id_dVQ4x3wz
ID_0J1NXY6D,right,t_id_dVQ4x3wz
ID_0JC13MBA,left,t_id_tjWepji1
ID_0JDDE04I,top,t_id_uIlC9Gfo
ID_0KMB0NN4,left,t_id_MwnEYfqe
ID_0KQJ1TYW,top,t_id_72SiiZCp
ID_0LHYKDEU,top,t_id_g9Fz8PH7
ID_0MGFWAOV,left,t_id_GOIvCduN
ID_0N6POAB2,left,t_id_8b8sprYe
ID_0NFH1PZ6,top,t_id_ksTLswDT
ID_0OAKNJBQ,right,t_id_e9i3Lbq4
ID_0R6UOFUQ,left,t_id_hRzOoJ2t
ID_0S3VQPSJ,left,t_id_72SiiZCp
ID_0S4IF2K2,top,t_id_8b8sprYe
ID_0S8W21AW,top,t_id_0g31STvR
ID_0SYENLY6,left,t_id_Ts5LyVQz
ID_0TNFUYL8,right,t_id_3K93fQBS
ID_0VJ2FLV9,top,t_id_1KIezxkh
ID_0VVR6NIJ,right,t_id_AMnriNb5
ID_0WB4N789,left,t_id_IlO9BOKc
ID_0WG9U1GO,top,t_id_15bo4NKD
ID_0XJG7PXU,right,t_id_a4VYrmyA
ID_0XWII0XC,top,t_id_tjWepji1
ID_0Y7QBGIB,top,t_id_4ZfTUmwL
ID_0Y7REA36,left,t_id_G5eoqwD8
ID_0YAZWB2L,left,t_id_stWei2Uq
ID_0YJ5D3IF,left,t_id_ROFhVsy2
ID_0ZZ13T2Q,left,t_id_Kf73l69A
ID_10EJKPAF,left,t_id_uIlC9Gfo
ID_10HIRN6W,top,t_id_qZ0iZYsC
ID_10S4M153,top,t_id_IlO9BOKc
ID_11D03T8G,top,t_id_fjHGjp1w
ID_11TL3SYA,left,t_id_ROFhVsy2
ID_12TAY32Q,top,t_id_D0gA44av
ID_14F3K393,top,t_id_AOWArhGb
ID_14NTXGCE,left,t_id_JI6ba2Yx
ID_17IHS7MU,top,t_id_AOWArhGb
ID_184JGJF5,top,t_id_KysHzQQK
ID_19M73WWV,right,t_id_tjWepji1
ID_19YCCES6,right,t_id_ROFhVsy2
ID_1BGNVTGM,right,t_id_HxxqrdTx
ID_1BI2BZ0J,right,t_id_HcnnlRda
ID_1BWWORQD,left,t_id_8b8sprYe
ID_1D4KU714,top,t_id_niEvmwXu
ID_1DDCV5Q1,right,t_id_stWei2Uq
ID_1DHBY4KU,right,t_id_IP3xtKuX
ID_1DXDE9JV,left,t_id_Ts5LyVQz
ID_1E6X2GLW,right,t_id_Kc1tXDbJ
ID_1EAHT0TG,right,t_id_m2JvEcsg
ID_1GVXTFKL,right,t_id_BI99coHt
ID_1HC59N7M,left,t_id_3fKmnkBS
ID_1HCBWQRK,top,t_id_iD9ikw6Y
ID_1HSQYZPE,right,t_id_DbmclTcj
ID_1HVIO966,left,t_id_WDCMGvI4
ID_1IP252Y3,left,t_id_D0gA44av
ID_1IZ8T62C,left,t_id_ROFhVsy2
ID_1JC1FD54,top,t_id_a4VYrmyA
ID_1JOTYWTI,right,t_id_BXWccqAn
ID_1K6QG62O,right,t_id_n2FBHk6d
ID_1KH9MS93,right,t_id_qZ0iZYsC
ID_1KKOIHIV,top,t_id_uVgs53Cz
ID_1LGEYXUO,right,t_id_BXWccqAn
ID_1LOGRZ1C,left,t_id_ifWwxWF4
ID_1LVKGE2I,left,t_id_uMOOrQu7
ID_1M9YNQGR,left,t_id_dhdJMT1K
ID_1N4G9NIX,left,t_id_Kf73l69A
ID_1OKAKEHX,right,t_id_ifWwxWF4
ID_1OND9SX7,right,t_id_Dv4O8bOM
ID_1OR37Y07,left,t_id_dhdJMT1K
ID_1P5BX7XH,right,t_id_pCO59rOk
ID_1PXR5D4Y,right,t_id_0g31STvR
ID_1Q7KV157,top,t_id_WXXcPTSW
ID_1R8WKXOZ,right,t_id_C0wevyOl
ID_1RRY7HY8,left,t_id_bYageLYA
ID_1RSRZF5W,right,t_id_JI6ba2Yx
ID_1RWHLFRK,right,t_id_e9i3Lbq4
ID_1RZIFCHC,top,t_id_B7LaSiac
ID_1S6V7HAH,left,t_id_fjHGjp1w
ID_1SPFXL92,top,t_id_JI6ba2Yx
ID_1SQB2VWI,top,t_id_mXD9Bjsb
ID_1U29KROW,left,t_id_tjWepji1
ID_1UZD2RB5,top,t_id_15bo4NKD
ID_1V0SE83T,left,t_id_8b8sprYe
ID_1V7S2G5A,top,t_id_IP1t15lD
ID_1VVMCOG8,right,t_id_0g31STvR
ID_1WKRTDSL,top,t_id_dVQ4x3wz
ID_1WUOBP46,left,t_id_AOWArhGb
ID_1X2W3ABD,left,t_id_BXWccqAn
ID_1X4FFXET,top,t_id_tjWepji1
ID_1X7A1UEI,right,t_id_pCO59rOk
ID_1Y1QRZWC,top,t_id_BXWccqAn
ID_1Z849QK6,right,t_id_72SiiZCp
ID_1ZDZVBLF,right,t_id_BI99coHt
ID_20MTQNWG,right,t_id_VP2NW7aV
ID_218CP5R0,left,t_id_hRzOoJ2t
ID_21FM67IR,right,t_id_Kf73l69A
ID_21JGZOYU,top,t_id_dVQ4x3wz
ID_22W82BIH,top,t_id_IP3xtKuX
ID_232HUB3N,right,t_id_IlO9BOKc
ID_2358MYBE,right,t_id_BI99coHt
ID_238OFM66,right,t_id_HxxqrdTx
ID_24XMOLVK,left,t_id_C0wevyOl
ID_257XTVSR,right,t_id_ROFhVsy2
ID_2598ECXH,top,t_id_Kf73l69A
ID_25AN41F8,right,t_id_VP2NW7aV
ID_25T5KR2Q,left,t_id_hibDzPAP
ID_26FZY0AJ,right,t_id_dhdJMT1K
ID_26I2GKJZ,top,t_id_dc6pjonY
ID_26JZTBIX,right,t_id_YjXYTCGC
ID_27U9A3K5,right,t_id_fjHGjp1w
ID_285ACCWE,left,t_id_fjHGjp1w
ID_29VIAZ3D,right,t_id_Kc1tXDbJ
ID_29XH0KCY,right,t_id_BI99coHt
ID_2A9SNF98,right,t_id_hRzOoJ2t
ID_2AWOJQ6G,top,t_id_7gFFZy7i
ID_2B4Z8UQV,right,t_id_ROFhVsy2
ID_2D8P5IJQ,top,t_id_VFb44eFm
ID_2DHZ5XI3,top,t_id_2E8o5Jtl
ID_2DTFZN5E,right,t_id_NW7wn8TC
ID_2FBSU5IN,right,t_id_8b8sprYe
ID_2G5VWR8P,left,t_id_Kc1tXDbJ
ID_2GB90GPS,left,t_id_YjXYTCGC
ID_2GM0SK7V,left,t_id_mpuNp8mf
ID_2HBGMZLT,right,t_id_BI99coHt
ID_2HX3SP2Q,left,t_id_stWei2Uq
ID_2JPJKUEY,right,t_id_AOWArhGb
ID_2JSFJ5UR,top,t_id_1KIezxkh
ID_2K2N7EEW,left,t_id_IlO9BOKc
ID_2KIZ2SSX,left,t_id_JI6ba2Yx
ID_2LDLI6PP,top,t_id_hibDzPAP
ID_2LXSCM50,left,t_id_JI6ba2Yx
ID_2M1QR0UQ,right,t_id_dc6pjonY
ID_2MEG03I2,right,t_id_VP2NW7aV
ID_2MI7QHMY,left,t_id_15bo4NKD
ID_2MP8SEYX,top,t_id_9GFmcOd5
ID_2NFH5AY5,top,t_id_m2JvEcsg
ID_2NY5VZJ1,top,t_id_KysHzQQK
ID_2O8DG2LG,right,t_id_YjXYTCGC
ID_2O9XULTA,top,t_id_ip3jsrYo
ID_2OMWS5P4,right,t_id_hRzOoJ2t
ID_2OORWNWM,right,t_id_hRzOoJ2t
ID_2PIUB1MK,left,t_id_G5JLzvai
ID_2QCEKGLA,right,t_id_1KIezxkh
ID_2QZRGCJ2,top,t_id_ZfvZBX4Q
ID_2RK4WLN8,top,t_id_VP2NW7aV
ID_2RK7C1QN,left,t_id_hRzOoJ2t
ID_2SKJ6BRJ,top,t_id_9GFmcOd5
ID_2UW7PDL4,top,t_id_ZfvZBX4Q
ID_2WHCP48M,left,t_id_Kc1tXDbJ
ID_2WZGLEX7,left,t_id_BI99coHt
ID_2XQIT20D,right,t_id_Lhp87PBX
ID_2YD83LJI,left,t_id_4ZfTUmwL
ID_2YEPFAZR,right,t_id_72SiiZCp
ID_30LF8R9H,left,t_id_hRzOoJ2t
ID_31Q4VR77,right,t_id_tjWepji1
ID_32T8KDHK,left,t_id_VFb44eFm
ID_332W0EFB,right,t_id_G5eoqwD8
ID_339CY33I,top,t_id_gz3whk0q
ID_3646J5ZS,top,t_id_BI99coHt
ID_364YVU2F,right,t_id_DPYQnZyv
ID_36B1ASYK,top,t_id_stWei2Uq
ID_36IV1E98,top,t_id_87CLFCvE
ID_36LEVX0D,right,t_id_ksTLswDT
ID_36OO9FMT,right,t_id_KysHzQQK
ID_37FLBUSK,right,t_id_m2JvEcsg
ID_37OGYEDP,right,t_id_iZQiE7wb
ID_37RXZ3TO,right,t_id_D3kHUEgp
ID_38NFN6PE,right,t_id_15bo4NKD
ID_38OZ45LI,right,t_id_J24awAHQ
ID_395HP0WK,right,t_id_OqU1NWEA
ID_3AHN59NJ,left,t_id_3b65X5Lw
ID_3B6AWEAY,right,t_id_SwQZGIpa
ID_3BQDO5F8,left,t_id_n2FBHk6d
ID_3BRPVKD9,left,t_id_8b8sprYe
ID_3CSDCABB,left,t_id_a4VYrmyA
ID_3D3K292W,left,t_id_BXWccqAn
ID_3DCZRDYS,top,t_id_JI6ba2Yx
ID_3E0B7W1E,right,t_id_g9Fz8PH7
ID_3FEFN3JQ,top,t_id_JI6ba2Yx
ID_3G500MQW,left,t_id_IP1t15lD
ID_3G585E73,right,t_id_QqeoI5F3
ID_3GP5P255,left,t_id_MwnEYfqe
ID_3HH7GGZ6,top,t_id_VP2NW7aV
ID_3IICZVWM,top,t_id_4ZfTUmwL
ID_3IK2E9D5,right,t_id_n2FBHk6d
ID_3JBGT4D4,left,t_id_tjWepji1
ID_3JHL0XDW,left,t_id_AOWArhGb
ID_3KPZ2UKO,right,t_id_utw0thCe
ID_3KQPOZH2,right,t_id_IP3xtKuX
ID_3KTXJW0H,right,t_id_MwnEYfqe
ID_3L5MO2LW,right,t_id_7gFFZy7i
ID_3L6M3RWM,right,t_id_3K93fQBS
ID_3MZMD48C,right,t_id_m2JvEcsg
ID_3NDJQJM7,left,t_id_dVQ4x3wz
ID_3NN7SJN0,left,t_id_uJXT7dGu
ID_3PAPEHDJ,right,t_id_GrxmyS59
ID_3QBOOK4D,right,t_id_WXXcPTSW
ID_3R63YUGO,top,t_id_Imm5pnNf
ID_3RBHM6FO,right,t_id_iZQiE7wb
ID_3RFFJLZ0,top,t_id_m2JvEcsg
ID_3RTMTX0P,left,t_id_ZfvZBX4Q
ID_3SN9CPQK,left,t_id_ip3jsrYo
ID_3SR2SQN6,right,t_id_0g31STvR
ID_3SSUOD1F,left,t_id_GrxmyS59
ID_3STIX7OB,top,t_id_a4VYrmyA
ID_3SY3WRKR,top,t_id_15bo4NKD
ID_3T395J5T,left,t_id_G5eoqwD8
ID_3T6695EQ,left,t_id_D0gA44av
ID_3TK2290E,right,t_id_a4VYrmyA
ID_3UFISML8,left,t_id_Ts5LyVQz
ID_3VW2J1FZ,right,t_id_fxTQ5vHC
ID_3WIO6HB9,right,t_id_AMnriNb5
ID_3WMD0EOX,right,t_id_mXD9Bjsb
ID_3XOEESPD,top,t_id_fjHGjp1w
ID_3YAV8O0C,top,t_id_NW7wn8TC
ID_40BUCYTX,top,t_id_ROFhVsy2
ID_4123DJRO,left,t_id_7gFFZy7i
ID_41LEJCPQ,left,t_id_9GFmcOd5
ID_432LRHPR,left,t_id_3b65X5Lw
ID_4379LDH7,left,t_id_MwnEYfqe
ID_43A2KYN1,right,t_id_k1rScFLB
ID_442DRHCA,top,t_id_SwQZGIpa
ID_448G8JTW,left,t_id_fxTQ5vHC
ID_468WEHQW,left,t_id_ip3jsrYo
ID_46B5FP3X,right,t_id_fjHGjp1w
ID_46EAWUTG,right,t_id_DPYQnZyv
ID_46GASB8T,left,t_id_D3kHUEgp
ID_46JVJJE0,top,t_id_SwQZGIpa
ID_46LUQOPY,right,t_id_8b8sprYe
ID_46RTG9VG,top,t_id_Ts5LyVQz
ID_46W4KFXU,left,t_id_JI6ba2Yx
ID_489B62RG,right,t_id_1KIezxkh
ID_489J52MZ,left,t_id_utw0thCe
ID_48KBQF5K,top,t_id_G5eoqwD8
ID_48RWI5MN,right,t_id_3K93fQBS
ID_49SFWMMF,left,t_id_gGQbn7FA
ID_4BX9A9CZ,left,t_id_7gFFZy7i
ID_4CX2W0N8,top,t_id_gz3whk0q
ID_4DDQCGNA,top,t_id_IlO9BOKc
ID_4F311WF5,right,t_id_ip3jsrYo
ID_4G07YNGA,left,t_id_YjXYTCGC
ID_4G43AB8P,top,t_id_AMnriNb5
ID_4I3ESY77,left,t_id_IP3xtKuX
ID_4IFPM26V,right,t_id_C0wevyOl
ID_4J2HAZMF,left,t_id_8b8sprYe
ID_4JFRRRKV,right,t_id_VP2NW7aV
ID_4KDDR6E0,left,t_id_tjWepji1
ID_4KPHQCAG,left,t_id_JI6ba2Yx
ID_4LFAG0GT,left,t_id_EEbWq5Pj
ID_4MWH30AA,top,t_id_2Yn71r7R
ID_4N5T1PZP,right,t_id_k1rScFLB
ID_4N7JWS83,left,t_id_QqeoI5F3
ID_4PYQJ8EO,left,t_id_KysHzQQK
ID_4RSKLTX9,top,t_id_3fKmnkBS
ID_4SG74XJ1,top,t_id_k1rScFLB
ID_4SLZW39D,top,t_id_gz3whk0q
ID_4TXEAAM1,left,t_id_72SiiZCp
ID_4U56R1MS,top,t_id_3b65X5Lw
ID_4UQDWJ58,top,t_id_ROFhVsy2
ID_4W4GWHPZ,top,t_id_dhdJMT1K
ID_4WW8XF7G,left,t_id_ROFhVsy2
ID_4XDLN4PZ,right,t_id_Ts5LyVQz
ID_4XFAYVLG,top,t_id_QqeoI5F3
ID_4XTTZZKV,top,t_id_IP3xtKuX
ID_4ZSD640L,right,t_id_g9Fz8PH7
ID_50NW1F9Y,right,t_id_hRzOoJ2t
ID_51GXXQ2Y,right,t_id_JI6ba2Yx
ID_51Z2ZUG4,right,t_id_hRzOoJ2t
ID_53HQWAOW,right,t_id_87CLFCvE
ID_53XXG3MF,right,t_id_8b8sprYe
ID_546OK6LK,left,t_id_YjXYTCGC
ID_54EE1LXT,top,t_id_uJXT7dGu
ID_54LAOD9M,right,t_id_IP1t15lD
ID_54N0JYY9,right,t_id_SwQZGIpa
ID_55DHG61B,left,t_id_fjHGjp1w
ID_55O9EG4V,top,t_id_IlO9BOKc
ID_56OQIZS1,top,t_id_3b65X5Lw
ID_575UBYT3,right,t_id_smNwfXAT
ID_58474N0A,left,t_id_Ts5LyVQz
ID_585DWP1V,right,t_id_mpuNp8mf
ID_58YOXVJA,right,t_id_Kf73l69A
ID_59D8RK5O,left,t_id_Kf73l69A
ID_59PAXSBH,left,t_id_HxxqrdTx
ID_5A4X1VE9,left,t_id_uIlC9Gfo
ID_5AD65I4B,right,t_id_VP2NW7aV
ID_5AODRFJJ,left,t_id_d6aYXtor
ID_5B9ZLN2R,left,t_id_J5dngbNA
ID_5EXO9GOM,left,t_id_iD9ikw6Y
ID_5F3UK4KI,left,t_id_1KIezxkh
ID_5FYXVKCD,left,t_id_G5eoqwD8
ID_5FZIZ4AO,right,t_id_15bo4NKD
ID_5GS9NLVJ,left,t_id_n2FBHk6d
ID_5H36XGUB,top,t_id_Kf73l69A
ID_5J29FOYV,left,t_id_ZfvZBX4Q
ID_5J4DI15N,right,t_id_YjXYTCGC
ID_5JTLGUUD,top,t_id_hRzOoJ2t
ID_5K7Z4FCS,right,t_id_m2JvEcsg
ID_5KZ6EJ33,right,t_id_Kf73l69A
ID_5LV034YU,right,t_id_G5eoqwD8
ID_5N0ZOGBZ,top,t_id_G5JLzvai
ID_5NER06CD,left,t_id_DPYQnZyv
ID_5NU130IP,top,t_id_niEvmwXu
ID_5NUVMDYX,top,t_id_tjWepji1
ID_5OPXS9LQ,right,t_id_AOWArhGb
ID_5OYHSZLM,top,t_id_FBsGDJhU
ID_5PFFGQ9H,top,t_id_OqU1NWEA
ID_5Q1DKR1L,top,t_id_1KIezxkh
ID_5Q2N2S7F,right,t_id_fjHGjp1w
ID_5QUIP8AJ,left,t_id_Imm5pnNf
ID_5SFBZZXF,left,t_id_GrxmyS59
ID_5TBZ5AIW,top,t_id_uIlC9Gfo
ID_5U8D1PCO,left,t_id_VFb44eFm
ID_5V9AK0J6,right,t_id_IP3xtKuX
ID_5W8QV1MZ,right,t_id_g9Fz8PH7
ID_5WC9SLMP,top,t_id_ROFhVsy2
ID_5WWET6TK,left,t_id_G5eoqwD8
ID_5XBNA2NJ,left,t_id_iZQiE7wb
ID_5XCDNO3M,left,t_id_WDCMGvI4
ID_5XRXS3OO,left,t_id_JI6ba2Yx
ID_5XXF7ZGL,top,t_id_Ts5LyVQz
ID_5Y4N29AA,top,t_id_smNwfXAT
ID_5ZX8LSS7,top,t_id_ifWwxWF4
ID_60HZPQNA,top,t_id_m2JvEcsg
ID_60SCQFGY,right,t_id_utw0thCe
ID_623ULKH1,left,t_id_YjXYTCGC
ID_62UIINJS,right,t_id_0g31STvR
ID_63BFNF8E,left,t_id_VP2NW7aV
ID_65RDT286,left,t_id_AOWArhGb
ID_66CXU9J1,top,t_id_C0wevyOl
ID_67RL74YI,left,t_id_gGQbn7FA
ID_682LHQ6M,top,t_id_YjXYTCGC
ID_6881RINB,right,t_id_Kf73l69A
ID_68TO7VYJ,left,t_id_a4VYrmyA
ID_6AD9A5MV,left,t_id_DPYQnZyv
ID_6BHLTFXH,right,t_id_WDCMGvI4
ID_6BKRV6RP,left,t_id_k1rScFLB
ID_6DVOCAKS,top,t_id_WDCMGvI4
ID_6ECGIEN9,right,t_id_15bo4NKD
ID_6EZNGL25,right,t_id_Kf73l69A
ID_6FA6IV5O,top,t_id_Kf73l69A
ID_6G5KX0PY,left,t_id_AOWArhGb
ID_6GFKRO0E,right,t_id_UVQa4BMz
ID_6GKENQ04,left,t_id_AMnriNb5
ID_6GZWW0BC,top,t_id_MwnEYfqe
ID_6HEJXWEZ,left,t_id_pCO59rOk
ID_6HWD3G9K,right,t_id_1KIezxkh
ID_6I8GO8DU,left,t_id_mXD9Bjsb
ID_6IGHJWBY,left,t_id_qZ0iZYsC
ID_6II0YDFZ,right,t_id_AOWArhGb
ID_6J0PC57A,right,t_id_HcnnlRda
ID_6KEFH5SM,left,t_id_X3bKBWYW
ID_6L3ADFK8,top,t_id_m2JvEcsg
ID_6L5VQ5R8,left,t_id_0DPPpRUz
ID_6LEAO1CH,top,t_id_uIlC9Gfo
ID_6MJKC6BJ,right,t_id_dVQ4x3wz
ID_6O0T2FPB,left,t_id_DPYQnZyv
ID_6OED89JQ,right,t_id_ROFhVsy2
ID_6R2DK3T6,right,t_id_JI6ba2Yx
ID_6RC53SQA,left,t_id_fjHGjp1w
ID_6RHG0TO5,left,t_id_IlO9BOKc
ID_6RT94V5C,right,t_id_fxTQ5vHC
ID_6SSK0AVO,top,t_id_2QmcRkNj
ID_6TQSMX60,top,t_id_15bo4NKD
ID_6UUOIMP6,top,t_id_G5eoqwD8
ID_6V34GA6C,right,t_id_JI6ba2Yx
ID_6VSIUY2M,left,t_id_hRzOoJ2t
ID_6W6TGZQI,top,t_id_JI6ba2Yx
ID_6WVUG1RN,top,t_id_dVQ4x3wz
ID_6XIQRRRF,top,t_id_Kc1tXDbJ
ID_6Y4FG4BB,right,t_id_NW7wn8TC
ID_6Z5TCW8Q,top,t_id_hibDzPAP
ID_701AZ5J0,left,t_id_m2JvEcsg
ID_703GHGF1,left,t_id_8b8sprYe
ID_718P57CN,right,t_id_D3kHUEgp
ID_7261QP1V,right,t_id_JI6ba2Yx
ID_73XF8XT6,left,t_id_Kf73l69A
ID_743SC158,top,t_id_ZfvZBX4Q
ID_7450PZW8,right,t_id_tjWepji1
ID_7461MO1H,top,t_id_2E8o5Jtl
ID_74D61SAT,top,t_id_mpuNp8mf
ID_755I28U4,top,t_id_ROFhVsy2
ID_75Q12DUU,left,t_id_fjHGjp1w
ID_764Q4WFZ,top,t_id_AOWArhGb
ID_76AJYILO,right,t_id_NW7wn8TC
ID_76MP9I87,left,t_id_a4VYrmyA
ID_76UDU8G8,top,t_id_IlO9BOKc
ID_76XUPZQY,left,t_id_ZfvZBX4Q
ID_77LS79M6,top,t_id_iZQiE7wb
ID_78YFIJ0A,top,t_id_J5dngbNA
ID_7AC0PBXT,top,t_id_Kf73l69A
ID_7AQ41OIF,right,t_id_JI6ba2Yx
ID_7AXW07C3,right,t_id_G5eoqwD8
ID_7BBFJQ54,left,t_id_3b65X5Lw
ID_7BPVI6E7,left,t_id_VP2NW7aV
ID_7BQD0A1H,right,t_id_8b8sprYe
ID_7BSHGZXH,top,t_id_bYageLYA
ID_7CXJQYNT,right,t_id_D0gA44av
ID_7D427U5A,right,t_id_fxTQ5vHC
ID_7EXIPDUO,left,t_id_n2FBHk6d
ID_7FCFWOER,right,t_id_a4VYrmyA
ID_7FE177TK,top,t_id_pCO59rOk
